type,price,profit,pair,scenario,timeframe,ema1,ema2
BUY,13.82,,SOLUSDT,StochRSI,4h,14,26
SELL,13.62,-1190.1194595579145,SOLUSDT,StochRSI,4h,14,26
BUY,13.75,,SOLUSDT,StochRSI,4h,14,26
SELL,13.73,-210.739654164252,SOLUSDT,StochRSI,4h,14,26
BUY,14.12,,SOLUSDT,StochRSI,4h,14,26
SELL,13.01,-5887.184872874772,SOLUSDT,StochRSI,4h,14,26
BUY,13.65,,SOLUSDT,StochRSI,4h,14,26
SELL,21.65,39581.939466376934,SOLUSDT,StochRSI,4h,14,26
BUY,24.57,,SOLUSDT,StochRSI,4h,14,26
SELL,23.32,-5605.3560198025225,SOLUSDT,StochRSI,4h,14,26
BUY,24.34,,SOLUSDT,StochRSI,4h,14,26
SELL,24.21,-685.2214477935486,SOLUSDT,StochRSI,4h,14,26
BUY,24.32,,SOLUSDT,StochRSI,4h,14,26
SELL,23.47,-3669.5053275351966,SOLUSDT,StochRSI,4h,14,26
BUY,21.6,,SOLUSDT,StochRSI,4h,14,26
SELL,23.88,10132.002001124667,SOLUSDT,StochRSI,4h,14,26
BUY,19.21,,SOLUSDT,StochRSI,4h,14,26
SELL,20.87,9130.000500879949,SOLUSDT,StochRSI,4h,14,26
BUY,20.68,,SOLUSDT,StochRSI,4h,14,26
SELL,20.87,907.1955404290784,SOLUSDT,StochRSI,4h,14,26
BUY,20.96,,SOLUSDT,StochRSI,4h,14,26
SELL,20.52,-2629.4831062765297,SOLUSDT,StochRSI,4h,14,26
BUY,20.8,,SOLUSDT,StochRSI,4h,14,26
SELL,20.54,-1595.8074183134158,SOLUSDT,StochRSI,4h,14,26
BUY,22.98,,SOLUSDT,StochRSI,4h,14,26
SELL,22.33,-3360.5779987720744,SOLUSDT,StochRSI,4h,14,26
BUY,22.33,,SOLUSDT,StochRSI,4h,14,26
SELL,22.19,-842.6256208818377,SOLUSDT,StochRSI,4h,14,26
BUY,22.64,,SOLUSDT,StochRSI,4h,14,26
SELL,22.05,-2993.397123699935,SOLUSDT,StochRSI,4h,14,26
BUY,22.46,,SOLUSDT,StochRSI,4h,14,26
SELL,21.16,-6284.739700171282,SOLUSDT,StochRSI,4h,14,26
BUY,20.97,,SOLUSDT,StochRSI,4h,14,26
SELL,20.67,-1566.6483246503194,SOLUSDT,StochRSI,4h,14,26
BUY,20.48,,SOLUSDT,StochRSI,4h,14,26
SELL,19.93,-2774.086515130897,SOLUSDT,StochRSI,4h,14,26
BUY,20.03,,SOLUSDT,StochRSI,4h,14,26
SELL,20.59,2533.589933694064,SOLUSDT,StochRSI,4h,14,26
BUY,15.59,,SOLUSDT,StochRSI,4h,14,26
SELL,16.5,5579.199449392167,SOLUSDT,StochRSI,4h,14,26
BUY,18.28,,SOLUSDT,StochRSI,4h,14,26
SELL,25.54,40962.45328826264,SOLUSDT,StochRSI,4h,14,26
BUY,26.48,,SOLUSDT,StochRSI,4h,14,26
SELL,25.79,-3965.3356528484437,SOLUSDT,StochRSI,4h,14,26
BUY,24.94,,SOLUSDT,StochRSI,4h,14,26
SELL,24.64,-1886.2941085026832,SOLUSDT,StochRSI,4h,14,26
BUY,24.22,,SOLUSDT,StochRSI,4h,14,26
SELL,23.09,-6659.110481830634,SOLUSDT,StochRSI,4h,14,26
BUY,21.42,,SOLUSDT,StochRSI,4h,14,26
SELL,19.83,-9977.018049380698,SOLUSDT,StochRSI,4h,14,26
BUY,20.14,,SOLUSDT,StochRSI,4h,14,26
SELL,19.47,-4227.964409226683,SOLUSDT,StochRSI,4h,14,26
BUY,19.9,,SOLUSDT,StochRSI,4h,14,26
SELL,19.56,-2176.4932139174343,SOLUSDT,StochRSI,4h,14,26
BUY,18.85,,SOLUSDT,StochRSI,4h,14,26
SELL,19.52,3945.422549041992,SOLUSDT,StochRSI,4h,14,26
BUY,20.21,,SOLUSDT,StochRSI,4h,14,26
SELL,22.33,12367.70726956689,SOLUSDT,StochRSI,4h,14,26
BUY,23.93,,SOLUSDT,StochRSI,4h,14,26
SELL,58.01,187587.77267079087,SOLUSDT,StochRSI,4h,14,26
BUY,59.06,,SOLUSDT,StochRSI,4h,14,26
SELL,56.27,-15525.111185239919,SOLUSDT,StochRSI,4h,14,26
BUY,57.14,,SOLUSDT,StochRSI,4h,14,26
SELL,55.06,-11479.73944471922,SOLUSDT,StochRSI,4h,14,26
BUY,59.31,,SOLUSDT,StochRSI,4h,14,26
SELL,67.56,40236.32848602574,SOLUSDT,StochRSI,4h,14,26
BUY,71.65,,SOLUSDT,StochRSI,4h,14,26
SELL,70.73,-4733.7407942622085,SOLUSDT,StochRSI,4h,14,26
BUY,73.67,,SOLUSDT,StochRSI,4h,14,26
SELL,101.8,124653.65514354373,SOLUSDT,StochRSI,4h,14,26
BUY,109.61,,SOLUSDT,StochRSI,4h,14,26
SELL,97.38,-51082.135939191794,SOLUSDT,StochRSI,4h,14,26
BUY,98.12,,SOLUSDT,StochRSI,4h,14,26
SELL,96.31,-7961.7003416496445,SOLUSDT,StochRSI,4h,14,26
BUY,100.32,,SOLUSDT,StochRSI,4h,14,26
SELL,94.8,-22185.200956530403,SOLUSDT,StochRSI,4h,14,26
BUY,97.32,,SOLUSDT,StochRSI,4h,14,26
SELL,94.48,-11347.21437470353,SOLUSDT,StochRSI,4h,14,26
BUY,91.2,,SOLUSDT,StochRSI,4h,14,26
SELL,97.91,25960.090842635604,SOLUSDT,StochRSI,4h,14,26
BUY,102.31,,SOLUSDT,StochRSI,4h,14,26
SELL,110.34,29725.384201060573,SOLUSDT,StochRSI,4h,14,26
BUY,111.94,,SOLUSDT,StochRSI,4h,14,26
SELL,110.42,-6221.261122176482,SOLUSDT,StochRSI,4h,14,26
BUY,106.81,,SOLUSDT,StochRSI,4h,14,26
SELL,182.54,289475.976267843,SOLUSDT,StochRSI,4h,14,26
BUY,185.32,,SOLUSDT,StochRSI,4h,14,26
SELL,179.46,-23054.88681408961,SOLUSDT,StochRSI,4h,14,26
BUY,188.99,,SOLUSDT,StochRSI,4h,14,26
SELL,179.87,-33525.86521429254,SOLUSDT,StochRSI,4h,14,26
BUY,141.55,,SOLUSDT,StochRSI,4h,14,26
SELL,147.81,27477.769395650015,SOLUSDT,StochRSI,4h,14,26
BUY,146.05,,SOLUSDT,StochRSI,4h,14,26
SELL,146.47,986.4184208443621,SOLUSDT,StochRSI,4h,14,26
BUY,150.86,,SOLUSDT,StochRSI,4h,14,26
SELL,145.65,-24080.558703802642,SOLUSDT,StochRSI,4h,14,26
BUY,160.45,,SOLUSDT,StochRSI,4h,14,26
SELL,169.66,36177.63091626868,SOLUSDT,StochRSI,4h,14,26
BUY,170.8,,SOLUSDT,StochRSI,4h,14,26
SELL,168.48,-10221.914355785353,SOLUSDT,StochRSI,4h,14,26
BUY,172.97,,SOLUSDT,StochRSI,4h,14,26
SELL,162.01,-43519.093885099865,SOLUSDT,StochRSI,4h,14,26
BUY,136.58,,SOLUSDT,StochRSI,4h,14,26
SELL,137.08,1420.0134393529734,SOLUSDT,StochRSI,4h,14,26
BUY,141.18,,SOLUSDT,StochRSI,4h,14,26
SELL,138.85,-11278.736132925842,SOLUSDT,StochRSI,4h,14,26
BUY,151.64,,SOLUSDT,StochRSI,4h,14,26
SELL,171.85,81584.30883540027,SOLUSDT,StochRSI,4h,14,26
BUY,182.52,,SOLUSDT,StochRSI,4h,14,26
SELL,180.08,-10340.685114645748,SOLUSDT,StochRSI,4h,14,26
BUY,155.81,,SOLUSDT,StochRSI,4h,14,26
SELL,143.92,-53605.52704085887,SOLUSDT,StochRSI,4h,14,26
BUY,145.4,,SOLUSDT,StochRSI,4h,14,26
SELL,143.43,-9512.332554625347,SOLUSDT,StochRSI,4h,14,26
BUY,143.49,,SOLUSDT,StochRSI,4h,14,26
SELL,143.97,1218.2481837415835,SOLUSDT,StochRSI,4h,14,26
BUY,132.91,,SOLUSDT,StochRSI,4h,14,26
SELL,131.89,-5699.454294448951,SOLUSDT,StochRSI,4h,14,26
BUY,147.88,,SOLUSDT,StochRSI,4h,14,26
SELL,145.42,-11223.976901552756,SOLUSDT,StochRSI,4h,14,26
BUY,148.02,,SOLUSDT,StochRSI,4h,14,26
SELL,139.33,-36731.94909517572,SOLUSDT,StochRSI,4h,14,26
BUY,145.3,,SOLUSDT,StochRSI,4h,14,26
SELL,167.88,88458.38002603047,SOLUSDT,StochRSI,4h,14,26
BUY,186.04,,SOLUSDT,StochRSI,4h,14,26
SELL,230.69,158129.11149594223,SOLUSDT,StochRSI,4h,14,26
BUY,242.88,,SOLUSDT,StochRSI,4h,14,26
SELL,237.09,-20713.365760896355,SOLUSDT,StochRSI,4h,14,26
BUY,233.07,,SOLUSDT,StochRSI,4h,14,26
SELL,206.55,-92144.87906591059,SOLUSDT,StochRSI,4h,14,26
BUY,195.79,,SOLUSDT,StochRSI,4h,14,26
SELL,191.32,-17154.911156086135,SOLUSDT,StochRSI,4h,14,26
BUY,192.71,,SOLUSDT,StochRSI,4h,14,26
SELL,191.36,-5807.529398416402,SOLUSDT,StochRSI,4h,14,26
BUY,193.1,,SOLUSDT,StochRSI,4h,14,26
SELL,202.17,31215.34551885363,SOLUSDT,StochRSI,4h,14,26
BUY,201.99,,SOLUSDT,StochRSI,4h,14,26
SELL,233.66,111286.77310697583,SOLUSDT,StochRSI,4h,14,26
BUY,203.07,,SOLUSDT,StochRSI,4h,14,26
SELL,197.96,-21977.802264798433,SOLUSDT,StochRSI,4h,14,26
BUY,198.36,,SOLUSDT,StochRSI,4h,14,26
SELL,195.9,-11116.630731367623,SOLUSDT,StochRSI,4h,14,26
BUY,169.88,,SOLUSDT,StochRSI,4h,14,26
SELL,141.87,-132072.77877037646,SOLUSDT,StochRSI,4h,14,26
BUY,142.16,,SOLUSDT,StochRSI,4h,14,26
SELL,144.79,11325.896298157284,SOLUSDT,StochRSI,4h,14,26
BUY,149.03,,SOLUSDT,StochRSI,4h,14,26
SELL,143.58,-25580.84986325144,SOLUSDT,StochRSI,4h,14,26
BUY,132.91,,SOLUSDT,StochRSI,4h,14,26
SELL,129.84,-15879.409052803298,SOLUSDT,StochRSI,4h,14,26
BUY,130.65,,SOLUSDT,StochRSI,4h,14,26
SELL,128.24,-12549.444258547737,SOLUSDT,StochRSI,4h,14,26
BUY,129.25,,SOLUSDT,StochRSI,4h,14,26
SELL,128.84,-2834.5235045701265,SOLUSDT,StochRSI,4h,14,26
BUY,115.41,,SOLUSDT,StochRSI,4h,14,26
SELL,148.17,174254.09997790563,SOLUSDT,StochRSI,4h,14,26
BUY,148.52,,SOLUSDT,StochRSI,4h,14,26
SELL,148.46,-1427.999089359655,SOLUSDT,StochRSI,4h,14,26
BUY,161.37,,SOLUSDT,StochRSI,4h,14,26
SELL,171.44,48161.38098708703,SOLUSDT,StochRSI,4h,14,26
