type,scenario,backtest_pair,ema_periods,price,profit,timeframe
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",14.0794,-504.9260219825628,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",14.7536,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",14.1894,-668.648706691949,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",15.9642,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",14.9223,-1079.9297228357354,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",14.8964,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",14.4264,-498.2658140657204,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",14.8863,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",13.7952,-1092.2994661223365,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",14.4069,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",19.0029,4298.021947479354,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",19.5086,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",19.4277,-98.8956185890238,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",19.3454,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",23.0889,3405.201189963249,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",24.396,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",27.4333,2600.5746244176044,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",28.1748,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",27.5032,-598.7276907235173,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",28.3369,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",27.0544,-1079.0245162155843,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",27.1892,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",25.0809,-1740.5025887475276,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",27.4559,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",31.0542,2633.2399473430487,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",30.6067,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",35.1265,3355.3341872645797,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",35.5267,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",45.335,7221.262931485242,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",45.978,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",45.064,-712.9149981584196,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",45.653,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",43.459,-1621.7260635753519,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",45.273,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",44.059,-879.4939956135713,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",43.293,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",42.643,-497.2427582511773,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",43.95,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",44.627,417.19587156401394,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",45.05,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",43.85,-847.0784436097019,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",45.244,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",44.159,-745.3668463035137,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",45.488,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",43.183,-1490.4149952229745,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",44.469,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",44.921,237.76122825776838,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",43.865,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",41.327,-1621.9743216099705,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",43.486,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",43.156,-231.49915560505542,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",45.95,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",47.743,960.01271488977,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",48.999,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",50.863,970.1530617812678,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",47.056,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",42.024,-2973.515790335048,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",34.676,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",30.629,-2891.0280670635802,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",30.966,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",30.53,-334.24945994100926,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",34.087,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",36.874,1708.17561688742,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",37.338,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",39.633,1379.2120336604603,1h
